5,10,40,116400,113080,111640
5,10,50,115240,112790,112820
5,11,0,107490,104900,104040
5,11,10,96134,94136,94015
5,11,20,88408,89423,87917
5,11,30,94527,91728,90468
5,11,40,85834,87440,87255
5,11,50,78041,77186,76388
5,12,0,76247,75421,69569
5,12,10,76319,73209,72896
5,12,20,70944,72095,75232
5,12,30,75524,76223,80082
5,12,40,111320,115530,112920
5,12,50,109080,110400,107810
5,13,0,97043,98061,99118
5,13,10,100620,101730,100780
5,13,20,108650,111590,105550
5,13,30,115790,108750,112940
5,13,40,109950,110000,111380
5,13,50,108840,105020,104340
5,14,0,112960,108700,114200
5,14,10,112920,107100,113320
5,14,20,105200,101270,108600
5,14,30,109590,105850,112510
5,14,40,115570,112040,118740
5,14,50,95511,91375,98030
5,15,0,99404,95878,99981
5,15,10,97940,95289,96695
5,15,20,99286,95885,100600
5,15,30,121910,117430,119080
5,15,40,131620,130170,130970
5,15,50,124030,121480,119210
5,16,0,124600,120230,121790
5,16,10,121580,120570,121240
5,16,20,132750,126980,130580
5,16,30,134090,129050,130440
5,16,40,127710,120080,126090
5,16,50,124340,119090,121180
5,17,0,128020,125450,123660
5,17,10,120830,115400,119630
5,17,20,124870,115460,116220
5,17,30,123350,119070,119170
5,17,40,114750,110830,110860
5,17,50,117790,115090,116110
5,18,0,129200,126310,129370
5,18,10,127040,126330,132920
5,18,20,127400,124280,131020
5,18,30,127110,126400,128550
5,18,40,123050,122520,127080
5,18,50,115800,117130,120100
5,19,0,105570,105550,110860
5,19,10,91376,91333,97782
5,19,20,79104,81224,82488
5,19,30,82450,79990,87168
5,19,40,80713,75897,83734
5,19,50,86471,83549,90288
5,20,0,105010,101840,110180
5,20,10,128000,125030,131540
5,20,20,125810,121840,130470
5,20,30,127770,121580,129180
5,20,40,127880,123970,131560
5,20,50,124050,120070,126570
5,21,0,125420,121400,128110
5,21,10,139690,134210,140280
5,21,20,141920,135980,141920
5,21,30,139500,132440,137810
5,21,40,140860,133830,137620
5,21,50,135780,128340,133640
5,22,0,130930,124520,128630
5,22,10,142550,138150,141340
5,22,20,131310,124950,129830
5,22,30,132920,125330,128780
5,22,40,129300,120830,125180
5,22,50,126830,120390,122740
5,23,0,126890,119930,122580
5,23,10,127950,120720,125510
5,23,20,114970,109990,117670
5,23,30,108970,102970,110700
5,23,40,104980,99199,106360
5,23,50,134370,128160,134260
6,0,0,135070,129090,132400
6,0,10,131220,125320,128950
6,0,20,130030,123450,126190
6,0,30,130710,125790,128570
6,0,40,134430,130980,133510
6,0,50,133880,129930,132220
6,1,0,136160,132550,135890
6,1,10,132040,127090,131300
6,1,20,125250,119640,127160
6,1,30,123970,119960,128050
6,1,40,129430,125640,130260
6,1,50,132990,130170,132780
6,2,0,137170,131660,135600
6,2,10,126670,119710,124380
6,2,20,127150,121380,124300
6,2,30,102630,97240,103040
6,2,40,89960,82889,87044
6,2,50,63738,59774,63267
6,3,0,63946,61145,62760
6,3,10,65902,61277,66022
6,3,20,79909,74592,81071
6,3,30,99758,95522,103150
6,3,40,100580,94866,103260
6,3,50,122670,118460,124250
6,4,0,125730,120990,126960
6,4,10,117730,113620,119410
6,4,20,130920,127820,131580
6,4,30,131820,126140,129400
6,4,40,124470,121980,125150
6,4,50,127500,124910,127250
6,5,0,127480,123920,126730
6,5,10,127790,123720,128530
6,5,20,127960,123030,127840
6,5,30,123040,117360,122430
6,5,40,124840,116470,123060
6,5,50,124780,116120,124040
6,6,0,128620,122610,129080
6,6,10,124850,118620,124620
6,6,20,126770,121600,127470
6,6,30,109980,110200,116420
6,6,40,100200,100360,106000
6,6,50,95655,95189,99898
6,7,0,94914,93329,99298
6,7,10,91833,89194,96159
6,7,20,96486,92807,98794
6,7,30,112770,110130,115150
6,7,40,123420,117250,122230
6,7,50,125200,122940,126530
6,8,0,123630,124880,126200
6,8,10,129070,131050,132720
6,8,20,116190,120730,120800
6,8,30,119130,120730,123790
6,8,40,122160,125800,126070
6,8,50,122670,125870,126570
6,9,0,125960,127860,124370
